formatted_address,formatted_phone_number,name,rating
"838 Main St, Ramona, CA 92065, USA",(760) 789-0150,El Taco Loco In Ramona market,4.8
"681 Main St, Ramona, CA 92065, USA",(760) 789-8332,La Cocina,4.5
"1028 Main St, Ramona, CA 92065, USA",(760) 789-0368,Mi Ranchito Taco Shop,4.0
"1347 Main St, Ramona, CA 92065, USA",(760) 789-4340,D'Carlos,4.3
"780 Main St H, Ramona, CA 92065, USA",(760) 789-9071,El Michoacan Restaurant,4.5
"865 Main St, Ramona, CA 92065, USA",(760) 440-3171,Marinade on Main,4.6
"1413 Main St, Ramona, CA 92065, USA",(760) 789-2801,Nuevo Grill & Cantina,4.0
"109 10th St, Ramona, CA 92065, USA",(760) 789-7500,Mariscos del Mar de Cortez,4.5
"1270A Main St, Ramona, CA 92065, USA",(760) 440-9365,Up the Hill Grill,4.5
"1137 Main St, Ramona, CA 92065, USA",(760) 788-7601,Mananas Mexican Food,4.2
"977 Main St, Ramona, CA 92065, USA",(760) 789-0584,Pete’s BBQ,4.5
"1056 Main St, Ramona, CA 92065, USA",(760) 789-6428,Jack in the Box,3.8
